name,mana_cost,cmc,type_line,oracle_text,loyalty,power,toughness,colours__001,colorus__002,colours__003,egalities__standard,legalities__pauper,set,collector_number,rarity,flavour_text,artist
Abnormal Endurance,"{1},{B}",2,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",,,,B,,,legal,legal,m19,85,common,Tenacity prevails when hopes die.,Tomasz Jedruszek
Act of Treason,"{2},{R}",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.,,,,R,,,legal,legal,m19,127,common,She learned a tragic lesson that day: even the purest can be corrupted when the heart's emotions are twisted.,Eric Deschamps
Aegis of the Heavens,"{1},{W}",2,Instant,Target creature gets +1/+7 until end of turn.,,,,W,,,legal,not_legal,m19,1,uncommon,Inner strength is never seen until it makes all the difference.,Anthony Palumbo
Aerial Engineer,"{2},{W},{U}",4,Creature ? Human Artificer,"As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.",,2,4,U,W,,legal,not_legal,m19,211,uncommon,"The best of their trade know every bolt of their rigs, stem to stern.",Zoltan Boros
Aethershield Artificer,"{3},{W}",4,Creature ? Dwarf Artificer,"At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",,3,3,W,,,legal,not_legal,m19,2,uncommon,"Most smiths shape metal, but some prefer more delicate materials.",Izzy
Aether Tunnel,"{1},{U}",2,Enchantment ? Aura,Enchant creature\nEnchanted creature gets +1/+0 and can't be blocked.,,,,U,,,legal,not_legal,m19,43,uncommon,"If you can't find a doorway, make one.",Lucas Graciano
Aggressive Mammoth,"{3},{G},{G},{G}",6,Creature ? Elephant,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nOther creatures you control have trample.,,8,8,G,,,legal,not_legal,m19,302,rare,"""Approach from behind. That way, if it does charge, at least you aren't in front of it.""\n?Vivien Reid",Filip Burburan
Air Elemental,"{3},{U},{U}",5,Creature ? Elemental,Flying (This creature can't be blocked except by creatures with flying or reach.),,4,4,U,,,legal,not_legal,m19,308,uncommon,"As the ship approached, the jade totem rose high overhead. Power rippled. Eyes of stone glowed and crackled. Out hissed a breath of the world, and a windstorm came alive.",Tomasz Jedruszek
"Ajani, Adversary of Tyrants","{2},{W},{W}",4,Legendary Planeswalker ? Ajani,"+1: Put a +1/+1 counter on each of up to two target creatures.\n?2: Return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.\n?7: You get an emblem with ""At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink.""",4,,,W,,,legal,not_legal,m19,3,mythic,,Victor Adame Minguez
Ajani's Influence,"{2},{W},{W}",4,Sorcery,Put two +1/+1 counters on target creature.\nLook at the top five cards of your library. You may reveal a white card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.,,,,W,,,legal,not_legal,m19,282,rare,,Sidharth Chaturvedi
Ajani's Last Stand,"{2},{W},{W}",4,Enchantment,"Whenever a creature or planeswalker you control dies, you may sacrifice Ajani's Last Stand. If you do, create a 4/4 white Avatar creature token with flying.\nWhen a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.",,,,W,,,legal,not_legal,m19,4,rare,,Slawomir Maniak
Ajani's Pridemate,"{1},{W}",2,Creature ? Cat Soldier,"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",,2,2,W,,,legal,not_legal,m19,5,uncommon,"""When one of us prospers, the pride prospers.""\n?Jazal Goldmane",Svetlin Velinov
Ajani's Welcome,{W},1,Enchantment,"Whenever a creature enters the battlefield under your control, you gain 1 life.",,,,W,,,legal,not_legal,m19,6,uncommon,"""You cannot defend others if your own well-being is neglected.""",Eric Deschamps
"Ajani, Wise Counselor","{3},{W},{W}",5,Legendary Planeswalker ? Ajani,"+2: You gain 1 life for each creature you control.\n?3: Creatures you control get +2/+2 until end of turn.\n?9: Put X +1/+1 counters on target creature, where X is your life total.",5,,,W,,,legal,not_legal,m19,281,mythic,,Eric Deschamps
Alpine Moon,{R},1,Enchantment,"As Alpine Moon enters the battlefield, choose a nonbasic land card name.\nLands your opponents control with the chosen name lose all land types and abilities, and they gain ""{T}: Add one mana of any color.""",,,,R,,,legal,not_legal,m19,128,rare,"""A rare and fascinating phenomenon.""\n?Tamiyo",Alayna Danner
Amulet of Safekeeping,{2},2,Artifact,"Whenever you become the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {1}.\nCreature tokens get -1/-0.",,,,,,,legal,not_legal,m19,226,rare,"Whether it is magical, lucky, or merely old, it is cherished, and that gives it power.",Aaron Miller
Angel of the Dawn,"{4},{W}",5,Creature ? Angel,"Flying\nWhen Angel of the Dawn enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn. (Attacking doesn't cause them to tap.)",,3,3,W,,,legal,legal,m19,7,common,She sings for all those who have been silenced.,Livia Prima
Anticipate,"{1},{U}",2,Instant,Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,,,,U,,,legal,legal,m19,44,common,Divining the future is easy when you hold the power to sway it.,Tyler Jacobson
Apex of Power,"{7},{R},{R},{R}",10,Sorcery,"Exile the top seven cards of your library. Until end of turn, you may cast nonland cards exiled this way.\nIf this spell was cast from your hand, add ten mana of any one color.",,,,R,,,legal,not_legal,m19,129,mythic,"""As I desire, so it shall be."" ?Nicol Bolas",Svetlin Velinov
"Arcades, the Strategist","{1},{G},{W},{U}",4,Legendary Creature ? Elder Dragon,"Flying, vigilance\nWhenever a creature with defender enters the battlefield under your control, draw a card.\nEach creature you control with defender assigns combat damage equal to its toughness rather than its power and can attack as though it didn't have defender.",,3,5,G,U,W,legal,not_legal,m19,212,mythic,,Even Amundsen
Arcane Encyclopedia,{3},3,Artifact,"{3}, {T}: Draw a card.",,,,,,,legal,not_legal,m19,227,uncommon,"Knowledge itself is neither good nor evil. Just as the wrong book in the wrong hands could doom all existence, the same book in the right hands could save it.",Nic Klein
Arisen Gorgon,"{1},{B},{B}",3,Creature ? Zombie Gorgon,Arisen Gorgon has deathtouch as long as you control a Liliana planeswalker. (Any amount of damage this deals to a creature is enough to destroy it.),,3,3,B,,,legal,not_legal,m19,292,uncommon,"""I'm not picky about what comes up, but the less decay, the better.""\n?Liliana Vess",Livia Prima
Aven Wind Mage,"{2},{U}",3,Creature ? Bird Wizard,"Flying\nWhenever you cast an instant or sorcery spell, Aven Wind Mage gets +1/+1 until end of turn.",,2,2,U,,,legal,legal,m19,45,common,"""My skill sharpens with each beat of my wings.""",Lius Lasahido
Aviation Pioneer,"{2},{U}",3,Creature ? Human Artificer,"When Aviation Pioneer enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying.",,1,2,U,,,legal,legal,m19,46,common,"""They say that perfection is unattainable, but they say that about flight too.""",Lake Hurwitz
Banefire,"{X},{R}",1,Sorcery,"Banefire deals X damage to any target.\nIf X is 5 or more, this spell can't be countered and the damage can't be prevented.",,,,R,,,legal,not_legal,m19,130,rare,"For Sarkhan Vol, the dragon is the purest expression of life's savage splendor.",Raymond Swanland
Befuddle,"{2},{U}",3,Instant,Target creature gets -4/-0 until end of turn.\nDraw a card.,,,,U,,,legal,legal,m19,309,common,"""The trick to talking sense into Keldons is getting them to hold still.""",Svetlin Velinov
Blanchwood Armor,"{2},{G}",3,Enchantment ? Aura,Enchant creature\nEnchanted creature gets +1/+1 for each Forest you control.,,,,G,,,legal,not_legal,m19,169,uncommon,,Paolo Parente
Blood Divination,"{3},{B}",4,Sorcery,"As an additional cost to cast this spell, sacrifice a creature.\nDraw three cards.",,,,B,,,legal,not_legal,m19,86,uncommon,Predicting the future is a messy business.,Filip Burburan
Boggart Brute,"{2},{R}",3,Creature ? Goblin Warrior,Menace (This creature can't be blocked except by two or more creatures.),,3,2,R,,,legal,legal,m19,131,common,"He has the biggest bashing stick, so it's a safe bet he's the leader.",Igor Kieryluk
Bogstomper,"{4},{B},{B}",6,Creature ? Beast,,,6,5,B,,,legal,legal,m19,87,common,"""They are gentle herbivores, despite their size. Approach cautiously, and hum a tune to let them know you mean no harm.""\n?Vivien Reid",Jason Felix
Bone Dragon,"{3},{B},{B}",5,Creature ? Dragon Skeleton,"Flying\n{3},{B},{B}, Exile seven other cards from your graveyard: Return Bone Dragon from your graveyard to the battlefield tapped.",,5,4,B,,,legal,not_legal,m19,88,mythic,Its roar is the clatter of a thousand bones.,Jason A. Engle
Bone to Ash,"{2},{U},{U}",4,Instant,Counter target creature spell.\nDraw a card.,,,,U,,,legal,legal,m19,47,uncommon,"""I can think of worse ways to go. On second thought, maybe not.""\n?Ludevic, necro-alchemist",Clint Cearley
Brawl-Bash Ogre,"{2},{B},{R}",4,Creature ? Ogre Warrior,"Menace (This creature can't be blocked except by two or more creatures.)\nWhenever Brawl-Bash Ogre attacks, you may sacrifice another creature. If you do, Brawl-Bash Ogre gets +2/+2 until end of turn.",,3,3,B,R,,legal,not_legal,m19,213,uncommon,,Even Amundsen
Bristling Boar,"{3},{G}",4,Creature ? Boar,Bristling Boar can't be blocked by more than one creature.,,4,3,G,,,legal,legal,m19,170,common,"""Nicol Bolas destroyed my world. I owe it to Skalla to celebrate all life, no matter how dangerous.""\n?Vivien Reid",Svetlin Velinov
Cancel,"{1},{U},{U}",3,Instant,Counter target spell.,,,,U,,,legal,legal,m19,48,common,"""I decide what stands in my way.""",Mathias Kollros
Catalyst Elemental,"{2},{R}",3,Creature ? Elemental,"Sacrifice Catalyst Elemental: Add {R},{R}.",,2,2,R,,,legal,legal,m19,132,common,"As the hyperstormic generator crept past redline, a being emerged from the arc.",Deruchenko Alexander
Cavalry Drillmaster,"{1},{W}",2,Creature ? Human Knight,"When Cavalry Drillmaster enters the battlefield, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",,2,1,W,,,legal,legal,m19,8,common,,Slawomir Maniak
Centaur Courser,"{2},{G}",3,Creature ? Centaur Warrior,,,3,3,G,,,legal,legal,m19,171,common,"""The centaurs are truly free. Never will they be tamed by temptation or controlled by fear. They live in total harmony, a feat not yet achieved by our kind.""\n?Ramal, sage of Westgate",Vance Kovacs
Chaos Wand,{3},3,Artifact,"{4}, {T}: Target opponent exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then put the exiled cards that weren't cast this way on the bottom of that library in a random order.",,,,,,,legal,not_legal,m19,228,rare,,Kari Christensen
Child of Night,"{1},{B}",2,Creature ? Vampire,Lifelink,,2,1,B,,,legal,legal,m19,89,common,Sins that would be too gruesome in the light of day are made more pleasing in the dark of night.,Ash Wood
"Chromium, the Mutable","{4},{W},{U},{B}",7,Legendary Creature ? Elder Dragon,"Flash\nThis spell can't be countered.\nFlying\nDiscard a card: Until end of turn, Chromium, the Mutable becomes a Human with base power and toughness 1/1, loses all abilities, and gains hexproof. It can't be blocked this turn.",,7,7,B,U,W,legal,not_legal,m19,214,mythic,,Chase Stone
Cinder Barrens,,0,Land,Cinder Barrens enters the battlefield tapped.\n{T}: Add {B} or {R}.,,,,,,,legal,legal,m19,248,common,"""I do as I choose with what is mine. And it is all mine.""\n?Nicol Bolas",Titus Lunter
Cleansing Nova,"{3},{W},{W}",5,Sorcery,Choose one ?\n? Destroy all creatures.\n? Destroy all artifacts and enchantments.,,,,W,,,legal,not_legal,m19,9,rare,"In their final moments, the demons gazed upon grace in its purest form.",Noah Bradley
Colossal Dreadmaw,"{4},{G},{G}",6,Creature ? Dinosaur,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),,6,6,G,,,legal,legal,m19,172,common,"If you feel the ground quake, run. If you hear its bellow, flee. If you see its teeth, it's too late.",Jesper Ejsing
Colossal Majesty,"{2},{G}",3,Enchantment,"At the beginning of your upkeep, if you control a creature with power 4 or greater, draw a card.",,,,G,,,legal,not_legal,m19,173,uncommon,"""Might doesn't just build empires. It protects them.""\n?Inti, Sun Empire knight",Randy Vargas
Court Cleric,{W},1,Creature ? Human Cleric,Lifelink (Damage dealt by this creature also causes you to gain that much life.)\nCourt Cleric gets +1/+1 as long as you control an Ajani planeswalker.,,1,1,W,,,legal,not_legal,m19,283,uncommon,"""The healers of Bant are second to none. I owe then a great deal for their tutelage.""\n?Ajani Goldmane",Mark Behm
Crash Through,{R},1,Sorcery,Creatures you control gain trample until end of turn. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.)\nDraw a card.,,,,R,,,legal,legal,m19,133,common,,Izzy
Crucible of Worlds,{3},3,Artifact,You may play land cards from your graveyard.,,,,,,,legal,not_legal,m19,229,mythic,Amidst the darkest ashes grow the strongest seeds.,Ron Spencer
Daggerback Basilisk,"{2},{G}",3,Creature ? Basilisk,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),,2,2,G,,,legal,legal,m19,174,common,"Its ventricles weep venom, and it consumes only poison.",Jesper Ejsing
Dark-Dweller Oracle,"{1},{R}",2,Creature ? Goblin Shaman,"{1}, Sacrifice a creature: Exile the top card of your library. You may play that card this turn. (You still pay its costs. You can play a land this way only if you have an available land play remaining.)",,2,2,R,,,legal,not_legal,m19,134,rare,Eyes are unnecessary for seeing the future.,Deruchenko Alexander
Daybreak Chaplain,"{1},{W}",2,Creature ? Human Cleric,Lifelink (Damage dealt by this creature also causes you to gain that much life.),,1,3,W,,,legal,legal,m19,10,common,"""May the light shine through me to guide the lost.""",Volkan Ba?a
Death Baron,"{1},{B},{B}",3,Creature ? Zombie Wizard,Skeletons you control and other Zombies you control get +1/+1 and have deathtouch.,,2,2,B,,,legal,not_legal,m19,90,rare,"For the necromancer barons, killing and recruitment are one and the same.",Nils Hamm
Declare Dominance,"{3},{G},{G}",5,Sorcery,Target creature gets +3/+3 until end of turn. All creatures able to block it this turn do so.,,,,G,,,legal,not_legal,m19,175,uncommon,"""If you think yourself a chief, then prove your might.""\n?Gar-Tun, Mistvalley silverback",Simon Dominic
Demanding Dragon,"{3},{R},{R}",5,Creature ? Dragon,"Flying\nWhen Demanding Dragon enters the battlefield, it deals 5 damage to target opponent unless that player sacrifices a creature.",,5,5,R,,,legal,not_legal,m19,135,rare,A knight's devotion to their steed goes only so far.,Chris Rahn
Demon of Catastrophes,"{2},{B},{B}",4,Creature ? Demon,"As an additional cost to cast this spell, sacrifice a creature.\nFlying, trample",,6,6,B,,,legal,not_legal,m19,91,rare,"A pit yawned open, a column of oily smoke arose, and a towering form hissed, ""I accept this offering.""",Sidharth Chaturvedi
Departed Deckhand,"{1},{U}",2,Creature ? Spirit Pirate,"When Departed Deckhand becomes the target of a spell, sacrifice it.\nDeparted Deckhand can't be blocked except by Spirits.\n{3},{U}: Another target creature you control can't be blocked this turn except by Spirits.",,2,2,U,,,legal,not_legal,m19,49,uncommon,,Zoltan Boros
Desecrated Tomb,{3},3,Artifact,"Whenever one or more creature cards leave your graveyard, create a 1/1 black Bat creature token with flying.",,,,,,,legal,not_legal,m19,230,rare,"The grave robbers were startled, for the door to the mausoleum was already open.",Dimitar Marinski
Detection Tower,,0,Land,"{T}: Add {C}.\n{1}, {T}: Until end of turn, your opponents and creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.",,,,,,,legal,not_legal,m19,249,rare,Its light exposes enemies and lays secrets bare.,Adam Paquette
Diamond Mare,{2},2,Artifact Creature ? Horse,"As Diamond Mare enters the battlefield, choose a color.\nWhenever you cast a spell of the chosen color, you gain 1 life.",,1,3,,,,legal,not_legal,m19,231,uncommon,"When it passes, rainbows follow.",Alayna Danner
Diregraf Ghoul,{B},1,Creature ? Zombie,Diregraf Ghoul enters the battlefield tapped.,,2,2,B,,,legal,not_legal,m19,92,uncommon,"""At least this one still has arms and legs. Well, most of its legs.""\n?Enslow, ghoulcaller of Nephalia",Dave Kendall
Dismissive Pyromancer,"{1},{R}",2,Creature ? Human Wizard,"{R}, {T}, Discard a card: Draw a card.\n{2},{R}, {T}, Sacrifice Dismissive Pyromancer: It deals 4 damage to target creature.",,2,2,R,,,legal,not_legal,m19,136,rare,"""Burn. Burn. Keep. Burn"".",Bram Sels
Disperse,"{1},{U}",2,Instant,Return target nonland permanent to its owner's hand.,,,,U,,,legal,legal,m19,50,common,It's pointless to hold on when you have nothing to hold on with.,Ryan Yee
Divination,"{2},{U}",3,Sorcery,Draw two cards.,,,,U,,,legal,legal,m19,51,common,"""The stars mark your destiny. May you accept the fate thus divulged.""",Willian Murai
Djinn of Wishes,"{3},{U},{U}",5,Creature ? Djinn,"Flying\nDjinn of Wishes enters the battlefield with three wish counters on it.\n{2},{U},{U}, Remove a wish counter from Djinn of Wishes: Reveal the top card of your library. You may play that card without paying its mana cost. If you don't, exile it.",,4,4,U,,,legal,not_legal,m19,52,rare,,Kev Walker
Doomed Dissenter,"{1},{B}",2,Creature ? Human,"When Doomed Dissenter dies, create a 2/2 black Zombie creature token.",,1,1,B,,,legal,legal,m19,93,common,There is only one fate left to those banished from the God-Pharaoh's city.,Tony Foti
Doublecast,"{R},{R}",2,Sorcery,"When you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.",,,,R,,,legal,not_legal,m19,137,uncommon,"First the insult, then the encore.",Even Amundsen
Draconic Disciple,"{1},{R},{G}",3,Creature ? Human Shaman,"{T}: Add one mana of any color.\n{7}, {T}, Sacrifice Draconic Disciple: Create a 5/5 red Dragon creature token with flying.",,2,2,G,R,,legal,not_legal,m19,215,uncommon,"""If I am to die, I will die in the embrace of an immeasurable flame.""",Yongjae Choi
Dragon Egg,"{2},{R}",3,Creature ? Dragon Egg,"Defender (This creature can't attack.)\nWhen Dragon Egg dies, create a 2/2 red Dragon creature token with flying and ""{R}: This creature gets +1/+0 until end of turn.""",,0,2,R,,,legal,legal,m19,138,uncommon,Dragon birth lairs are littered with treasure to entice the young from their eggs.,Jack Wang
Dragon's Hoard,{3},3,Artifact,"Whenever a Dragon enters the battlefield under your control, put a gold counter on Dragon's Hoard.\n{T}, Remove a gold counter from Dragon's Hoard: Draw a card.\n{T}: Add one mana of any color.",,,,,,,legal,not_legal,m19,232,rare,,Adam Paquette
Druid of Horns,"{3},{G}",4,Creature ? Human Druid,"Whenever you cast an Aura spell that targets Druid of Horns, create a 3/3 green Beast creature token.",,2,3,G,,,legal,not_legal,m19,176,uncommon,No welcome for those who trespass. Only fang and horn and claw.,Nils Hamm
Druid of the Cowl,"{1},{G}",2,Creature ? Elf Druid,{T}: Add {G}.,,1,3,G,,,legal,legal,m19,177,common,"""The wild tangle of the Cowl provides sanctuary to life that watched the first buildings rise.""",Magali Villeneuve
Dryad Greenseeker,"{1},{G}",2,Creature ? Dryad,"{T}: Look at the top card of your library. If it's a land card, you may reveal it and put it into your hand.",,1,3,G,,,legal,not_legal,m19,178,uncommon,"""The land already knows its destiny. I simply ask it to share the tale with me.""",Greg Opalinski
Duress,{B},1,Sorcery,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",,,,B,,,legal,legal,m19,94,common,"""It hurts more if you think about it.""\n?Hooks, Cabal torturer",Steven Belledin
Dwarven Priest,"{3},{W}",4,Creature ? Dwarf Cleric,"When Dwarven Priest enters the battlefield, you gain 1 life for each creature you control.",,2,4,W,,,legal,legal,m19,11,common,"""These storied halls are under my protection.""",Even Amundsen
Dwindle,"{2},{U}",3,Enchantment ? Aura,"Enchant creature\nEnchanted creature gets -6/-0.\nWhen enchanted creature blocks, destroy it. (The attacking creature remains blocked.)",,,,U,,,legal,legal,m19,53,common,"The collection didn't have room to expand, so the wizard improvised a solution.",Ryan Pancoast
Electrify,"{3},{R}",4,Instant,Electrify deals 4 damage to target creature.,,,,R,,,legal,legal,m19,139,common,"""Some hid from the storm. I embraced it and learned its name.""",Craig J Spearing
Elvish Clancaller,"{G},{G}",2,Creature ? Elf Druid,"Other Elves you control get +1/+1.\n{4},{G},{G}, {T}: Search your library for a card named Elvish Clancaller, put it onto the battlefield, then shuffle your library.",,1,1,G,,,legal,not_legal,m19,179,rare,No single root feeds the forest.,Matt Stewart
Elvish Rejuvenator,"{2},{G}",3,Creature ? Elf Druid,"When Elvish Rejuvenator enters the battlefield, look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.",,1,1,G,,,legal,legal,m19,180,common,,Winona Nelson
Enigma Drake,"{1},{U},{R}",3,Creature ? Drake,Flying\nEnigma Drake's power is equal to the number of instant and sorcery cards in your graveyard.,,*,4,R,U,,legal,not_legal,m19,216,uncommon,Many initiates believe it possesses secrets beyond imagining. Many have become meals trying to learn them.,Steve Argyle
Epicure of Blood,"{4},{B}",5,Creature ? Vampire,"Whenever you gain life, each opponent loses 1 life.",,4,4,B,,,legal,legal,m19,95,common,"""Fleshy, with just a hint of leather. A fine vintage.""",Anna Steinbauer
Essence Scatter,"{1},{U}",2,Instant,Counter target creature spell.,,,,U,,,legal,legal,m19,54,common,Dependence on luck is anathema to Kefnet's rigorous studies. Those who hope to escape his maze by chance never succeed.,Josh Hass
Exclusion Mage,"{2},{U}",3,Creature ? Human Wizard,"When Exclusion Mage enters the battlefield, return target creature an opponent controls to its owner's hand.",,2,2,U,,,legal,not_legal,m19,55,uncommon,Successful battles start with knowing who's worth fighting.,Chris Seaman
Explosive Apparatus,{1},1,Artifact,"{3}, {T}, Sacrifice Explosive Apparatus: It deals 2 damage to any target.",,,,,,,legal,legal,m19,233,common,"""Souls are volatile things. When compressed and loaded into a handheld device, their destructive potential is quite impressive.""\n?Dierk, geistmage",Lindsey Look
Fell Specter,"{3},{B}",4,Creature ? Specter,"Flying\nWhen Fell Specter enters the battlefield, target opponent discards a card.\nWhenever an opponent discards a card, that player loses 2 life.",,1,3,B,,,legal,not_legal,m19,96,uncommon,,Dimitar Marinski
Field Creeper,{2},2,Artifact Creature ? Scarecrow,,,2,1,,,,legal,legal,m19,234,common,"As it walks across the fallow field, its awkward, loping gait matches the rattling in its head to create a haunting rhythm that chills the bones.",Anthony Palumbo
Fiery Finish,"{4},{R},{R}",6,Sorcery,Fiery Finish deals 7 damage to target creature.,,,,R,,,legal,not_legal,m19,140,uncommon,Negotiations reached an abrupt conclusion.,Joe Slucher
Fire Elemental,"{3},{R},{R}",5,Creature ? Elemental,,,5,4,R,,,legal,legal,m19,141,common,It treads on feet of coals and strikes with the force of a volcano.,Slawomir Maniak
Forest,,0,Basic Land ? Forest,({T}: Add {G}.),,,,,,,legal,legal,m19,277,common,,Volkan Ba?a
Forsaken Sanctuary,,0,Land,Forsaken Sanctuary enters the battlefield tapped.\n{T}: Add {W} or {B}.,,,,,,,legal,legal,m19,250,common,"""Prayers will curdle on the tongue and be heard by rotting ears.""\n?Minaldra, the Vizag Atum",Vincent Proce
Foul Orchard,,0,Land,Foul Orchard enters the battlefield tapped.\n{T}: Add {B} or {G}.,,,,,,,legal,legal,m19,251,common,"The stench of rotting meat lures flies, goblins, and young raptors.",Yeong-Hao Han
Fountain of Renewal,{1},1,Artifact,"At the beginning of your upkeep, you gain 1 life.\n{3}, Sacrifice Fountain of Renewal: Draw a card.",,,,,,,legal,not_legal,m19,235,uncommon,"Entrepreneurs have attempted to sell the water, but to no avail. Whatever magic it contains disappears upon bottling.",Adam Paquette
Fraying Omnipotence,"{3},{B},{B}",5,Sorcery,"Each player loses half their life, then discards half the cards in their hand, then sacrifices half the creatures they control. Round up each time.",,,,B,,,legal,not_legal,m19,97,rare,The Great Mending that healed the Multiverse also unraveled the threads of Nicol Bolas's power.,Svetlin Velinov
Frilled Sea Serpent,"{4},{U},{U}",6,Creature ? Serpent,"{5},{U},{U}: Frilled Sea Serpent can't be blocked this turn.",,4,6,U,,,legal,legal,m19,56,common,"""Reel it in. No, wait! Throw it back!""\n?Gertrude, deep-sea angler",Steven Belledin
Gallant Cavalry,"{3},{W}",4,Creature ? Human Knight,"Vigilance (Attacking doesn't cause this creature to tap.)\nWhen Gallant Cavalry enters the battlefield, create a 2/2 white Knight creature token with vigilance.",,2,2,W,,,legal,legal,m19,12,common,"""Our duty does not stop at our borders.""",Craig J Spearing
Gargoyle Sentinel,{3},3,Artifact Creature ? Gargoyle,"Defender (This creature can't attack.)\n{3}: Until end of turn, Gargoyle Sentinel loses defender and gains flying.",,3,3,,,,legal,not_legal,m19,236,uncommon,"""Do not mistake a quiet rampart for one that is unguarded. Some things stir only when they need to.""\n?Bonovar, siege commander",Drew Baker
Gearsmith Guardian,{5},5,Artifact Creature ? Construct,Gearsmith Guardian gets +2/+0 as long as you control a blue creature.,,3,5,,,,legal,legal,m19,237,common,"Made in its creator's image, though slightly more clangy.",Deruchenko Alexander
Gearsmith Prodigy,{U},1,Creature ? Human Artificer,Gearsmith Prodigy gets +1/+0 as long as you control an artifact.,,1,2,U,,,legal,legal,m19,57,common,Young artificers on Kaladesh let their imaginations run wild.,Deruchenko Alexander
Ghastbark Twins,"{5},{G},{G}",7,Creature ? Treefolk,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nGhastbark Twins can block an additional creature each combat.,,7,7,G,,,legal,not_legal,m19,181,uncommon,They grow closer with every passing season.,Zack Stella
Ghirapur Guide,"{2},{G}",3,Creature ? Elf Scout,"{2},{G}: Target creature you control can't be blocked by creatures with power 2 or less this turn.",,3,2,G,,,legal,not_legal,m19,182,uncommon,"Fairgoers were delighted to find that even outside the fairgrounds, Ghirapur was a city of wonders.",Scott Murphy
