name,mana_cost,cmc,type_line,oracle_text,loyalty,power,toughness,colours__001,colorus__002,colours__003,egalities__standard,legalities__pauper,set,collector_number,rarity,flavour_text,artist
Ghostform,"{1},{U}",2,Sorcery,Up to two target creatures can't be blocked this turn.,,,,U,,,legal,legal,m19,58,common,"""Picking locks is for beginners.""",Scott Chou
Giant Spider,"{3},{G}",4,Creature ? Spider,Reach (This creature can block creatures with flying.),,2,4,G,,,legal,legal,m19,183,common,"""After everything I've survived, it's hard to be frightened by anything anymore.""\n?Vivien Reid",Randy Gallegos
Gift of Paradise,"{2},{G}",3,Enchantment ? Aura,"Enchant land\nWhen Gift of Paradise enters the battlefield, you gain 3 life.\nEnchanted land has ""{T}: Add two mana of any one color.""",,,,G,,,legal,legal,m19,184,uncommon,,Ryan Pancoast
Gigantosaurus,"{G},{G},{G},{G},{G}",5,Creature ? Dinosaur,,,10,10,G,,,legal,not_legal,m19,185,rare,"""Each tooth is the length of a horse, and new ones grow in every sixteen days. Let's get a closer look!""\n?Vivien Reid",Jonathan Kuo
Goblin Instigator,"{1},{R}",2,Creature ? Goblin Rogue,"When Goblin Instigator enters the battlefield, create a 1/1 red Goblin creature token.",,1,1,R,,,legal,legal,m19,142,common,"""We can take 'em. You go first!""",Filip Burburan
Goblin Motivator,{R},1,Creature ? Goblin Warrior,{T}: Target creature gains haste until end of turn. (It can attack and {T} this turn.),,1,1,R,,,legal,legal,m19,143,common,Small words stoke large flames.,Johann Bodin
Goblin Trashmaster,"{2},{R},{R}",4,Creature ? Goblin Warrior,Other Goblins you control get +1/+1.\nSacrifice a Goblin: Destroy target artifact.,,3,3,R,,,legal,not_legal,m19,144,rare,"""Folks 'round here are too in love with their contraptions. Does them some good if we smash every one so often.""",Jakub Kasper
"Goreclaw, Terror of Qal Sisma","{3},{G}",4,Legendary Creature ? Bear,"Creature spells you cast with power 4 or greater cost {2} less to cast.\nWhenever Goreclaw, Terror of Qal Sisma attacks, each creature you control with power 4 or greater gets +1/+1 and gains trample until end of turn.",,4,3,G,,,legal,not_legal,m19,186,rare,You don't want to know how she got that name.,Svetlin Velinov
Grasping Scoundrel,{B},1,Creature ? Human Pirate,Grasping Scoundrel gets +1/+0 as long as it's attacking.,,1,1,B,,,legal,legal,m19,312,common,"""I can hear the plunder calling. It asks for me by name.""",Steve Prescott
Gravedigger,"{3},{B}",4,Creature ? Zombie,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",,2,2,B,,,legal,legal,m19,98,uncommon,A full coffin is like a full coffer?both are attractive to thieves.,Dermot Power
Gravewaker,"{4},{B},{B}",6,Creature ? Bird Spirit,"Flying\n{5},{B},{B}: Return target creature card from your graveyard to the battlefield tapped.",,5,5,B,,,legal,not_legal,m19,293,rare,Once every seven years it flies on spectral wings over the moors of ancient battlefields.,Daniel Ljunggren
Graveyard Marshal,"{B},{B}",2,Creature ? Zombie Soldier,"{2},{B}, Exile a creature card from your graveyard: Create a tapped 2/2 black Zombie creature token.",,3,2,B,,,legal,not_legal,m19,99,rare,"""Rise and shine, my dears. We have work to do.""\n?Isareth the Awakener",Mark Behm
Greenwood Sentinel,"{1},{G}",2,Creature ? Elf Scout,Vigilance (Attacking doesn't cause this creature to tap.),,2,2,G,,,legal,legal,m19,187,common,"Within a mile of the woodland, you will feel her eyes upon you. Within its borders, you will feel her blade.",Johann Bodin
Guttersnipe,"{2},{R}",3,Creature ? Goblin Shaman,"Whenever you cast an instant or sorcery spell, Guttersnipe deals 2 damage to each opponent.",,2,2,R,,,legal,not_legal,m19,145,uncommon,"""I found a new toy. Wanna play?""",Mathias Kollros
Havoc Devils,"{2},{R},{R}",4,Creature ? Devil,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),,4,3,R,,,legal,legal,m19,146,common,"For devils, burning things is the highest form of comedy, diversion, and artistic expression.",Viktor Titov
Herald of Faith,"{3},{W},{W}",5,Creature ? Angel,"Flying\nWhenever Herald of Faith attacks, you gain 2 life.",,4,3,W,,,legal,not_legal,m19,13,uncommon,The clerics prayed for salvation. The soldiers prayed for victory. Both prayers were answered.,Tommy Arnold
Heroic Reinforcements,"{2},{R},{W}",4,Sorcery,"Create two 1/1 white Soldier creature tokens. Until end of turn, creatures you control get +1/+1 and gain haste. (They can attack and {T} this turn.)",,,,R,W,,legal,not_legal,m19,217,uncommon,Cries of anguish quickly spurred cries of action.,Scott Murphy
Hieromancer's Cage,"{3},{W}",4,Enchantment,"When Hieromancer's Cage enters the battlefield, exile target nonland permanent an opponent controls until Hieromancer's Cage leaves the battlefield.",,,,W,,,legal,not_legal,m19,14,uncommon,Law protects but it also contains.,Jason Rainville
Highland Game,"{1},{G}",2,Creature ? Elk,"When Highland Game dies, you gain 2 life.",,2,1,G,,,legal,legal,m19,188,common,"""Bring down a stag and fix its horns upon Arel's head. She hears the wisdom of our ancestors.""\n?Chianul, Who Whispers Twice",John Severin Brassell
Highland Lake,,0,Land,Highland Lake enters the battlefield tapped.\n{T}: Add {U} or {R}.,,,,,,,legal,legal,m19,252,common,"""A place like this makes me wonder if there's more to life than blood and treasure . . . Nah.""\n?Boyl Bucksalt, Storm Fleet swab",Noah Bradley
Hired Blade,"{2},{B}",3,Creature ? Human Assassin,Flash (You may cast this spell any time you could cast an instant.),,3,2,B,,,legal,legal,m19,100,common,"""If you want them dead, buy some poison. If you want them to have the worst day of their life before dying, then let's talk price.""",Mark Behm
Horizon Scholar,"{5},{U}",6,Creature ? Sphinx,"Flying\nWhen Horizon Scholar enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",,4,4,U,,,legal,not_legal,m19,59,uncommon,,Karl Kopinski
Hostile Minotaur,"{3},{R}",4,Creature ? Minotaur,Haste (This creature can attack and {T} as soon as it comes under your control.),,3,3,R,,,legal,legal,m19,147,common,"The bellow of minotaur always translates to ""charge.""",Joe Slucher
Hungering Hydra,"{X},{G}",1,Creature ? Hydra,"Hungering Hydra enters the battlefield with X +1/+1 counters on it.\nHungering Hydra can't be blocked by more than one creature.\nWhenever Hungering Hydra is dealt damage, put that many +1/+1 counters on it. (It must survive the damage to get the counters.)",,0,0,G,,,legal,not_legal,m19,189,rare,,Daarken
Infectious Horror,"{3},{B}",4,Creature ? Zombie Horror,"Whenever Infectious Horror attacks, each opponent loses 2 life.",,2,2,B,,,legal,legal,m19,101,common,Not once in the history of Grixis has anyone died of old age.,Pete Venters
Infernal Reckoning,{B},1,Instant,Exile target colorless creature. You gain life equal to its power.,,,,B,,,legal,not_legal,m19,102,rare,"""When these intruders are gone, Zendikar will be my throne, my palace, my playground.""",Bram Sels
Infernal Scarring,"{1},{B}",2,Enchantment ? Aura,"Enchant creature\nEnchanted creature gets +2/+0 and has ""When this creature dies, draw a card.""",,,,B,,,legal,legal,m19,103,common,One who is marked by a demon in life is sure to be remembered as one in death.,Mike Bierek
Inferno Hellion,"{3},{R}",4,Creature ? Hellion,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nAt the beginning of each end step, if Inferno Hellion attacked or blocked this turn, its owner shuffles it into their library.",,7,3,R,,,legal,not_legal,m19,148,uncommon,,Jason A. Engle
Inspired Charge,"{2},{W},{W}",4,Instant,Creatures you control get +2/+1 until end of turn.,,,,W,,,legal,legal,m19,15,common,"""Impossible! How could they overwhelm us? We had barricades, war elephants, ? and they were barely a tenth of our number!"" ?General Avitora",Wayne Reynolds
Invoke the Divine,"{2},{W}",3,Instant,Destroy target artifact or enchantment. You gain 4 life.,,,,W,,,legal,legal,m19,16,common,"""Let go of all that harms you. Cast your burdens into the darkness, and build for the faithful a house of light.""\n?Song of All, canto 1008",Magali Villeneuve
Isareth the Awakener,"{1},{B},{B}",3,Legendary Creature ? Human Wizard,"Deathtouch\nWhenever Isareth the Awakener attacks, you may pay {X}. When you do, return target creature card with converted mana cost X from your graveyard to the battlefield with a corpse counter on it. If that creature would leave the battlefield, exile it instead of putting it anywhere else.",,3,3,B,,,legal,not_legal,m19,104,rare,,Jason Rainville
Island,,0,Basic Land ? Island,({T}: Add {U}.),,,,,,,legal,legal,m19,265,common,,Cliff Childs
Isolate,{W},1,Instant,Exile target permanent with converted mana cost 1.,,,,W,,,legal,not_legal,m19,17,rare,"Threefold were his crimes, doubled were his pleas, singular was his fate.",Victor Adame Minguez
Kargan Dragonrider,"{1},{R}",2,Creature ? Human Warrior,"As long as you control a Dragon, Kargan Dragonrider has flying. (It can't be blocked except by creatures with flying or reach.)",,2,2,R,,,legal,legal,m19,297,common,"""Only those who give the dragons the respect they deserve may bear our title.""",Greg Opalinski
Knightly Valor,"{4},{W}",5,Enchantment ? Aura,"Enchant creature\nWhen Knightly Valor enters the battlefield, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.)\nEnchanted creature gets +2/+2 and has vigilance.",,,,W,,,legal,legal,m19,20,uncommon,,Matt Stewart
Knight of the Tusk,"{4},{W},{W}",6,Creature ? Human Knight,Vigilance (Attacking doesn't cause this creature to tap.),,3,7,W,,,legal,legal,m19,18,common,"""Horse? Who needs a horse?""",Jesper Ejsing
Knight's Pledge,"{1},{W}",2,Enchantment ? Aura,Enchant creature\nEnchanted creature gets +2/+2.,,,,W,,,legal,legal,m19,19,common,"""As long as my faith persists, so shall I.""",Magali Villeneuve
"Lathliss, Dragon Queen","{4},{R},{R}",6,Legendary Creature ? Dragon,"Flying\nWhenever another nontoken Dragon enters the battlefield under your control, create a 5/5 red Dragon creature token with flying.\n{1},{R}: Dragons you control get +1/+0 until end of turn.",,6,6,R,,,legal,not_legal,m19,149,rare,,Alex Konstad
Lava Axe,"{4},{R}",5,Sorcery,Lava Axe deals 5 damage to target player or planeswalker.,,,,R,,,legal,legal,m19,150,common,"""Catch!""",Brian Snäddy
"Lena, Selfless Champion","{4},{W},{W}",6,Legendary Creature ? Human Knight,"When Lena, Selfless Champion enters the battlefield, create a 1/1 white Soldier creature token for each nontoken creature you control.\nSacrifice Lena: Creatures you control with power less than Lena's power gain indestructible until end of turn.",,3,3,W,,,legal,not_legal,m19,21,rare,"""Those who do evil and those who do nothing are equally worthy of contempt.""",Lucas Graciano
Leonin Vanguard,{W},1,Creature ? Cat Soldier,"At the beginning of combat on your turn, if you control three or more creatures, Leonin Vanguard gets +1/+1 until end of turn and you gain 1 life.",,1,1,W,,,legal,not_legal,m19,22,uncommon,The best fighters are skilled in both harming and healing.,Aaron Miller
Leonin Warleader,"{2},{W},{W}",4,Creature ? Cat Soldier,"Whenever Leonin Warleader attacks, create two 1/1 white Cat creature tokens with lifelink that are tapped and attacking.",,4,4,W,,,legal,not_legal,m19,23,rare,"When one leonin hunts, many more are surely nearby.",Jakub Kasper
Lich's Caress,"{3},{B},{B}",5,Sorcery,Destroy target creature. You gain 3 life.,,,,B,,,legal,legal,m19,105,common,A lich must consume mortal souls to feed its eternal life.,Josh Hass
Lightning Mare,"{R},{R}",2,Creature ? Elemental Horse,"This spell can't be countered.\nLightning Mare can't be blocked by blue creatures.\n{1},{R}: Lightning Mare gets +1/+0 until end of turn.",,3,1,R,,,legal,not_legal,m19,151,uncommon,"When it passes, storm clouds bolt across the land.",Lucas Graciano
Lightning Strike,"{1},{R}",2,Instant,Lightning Strike deals 3 damage to any target.,,,,R,,,legal,legal,m19,152,uncommon,To wield lightning is to tame chaos.,Adam Paquette
Liliana's Contract,"{3},{B},{B}",5,Enchantment,"When Liliana's Contract enters the battlefield, you draw four cards and you lose 4 life.\nAt the beginning of your upkeep, if you control four or more Demons with different names, you win the game.",,,,B,,,legal,not_legal,m19,107,rare,Immortality is worth any price.,Bastien L. Deharme
Liliana's Spoils,"{3},{B}",4,Sorcery,Target opponent discards a card.\nLook at the top five cards of your library. You may reveal a black card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.,,,,B,,,legal,not_legal,m19,294,rare,,Tyler Jacobson
"Liliana, the Necromancer","{3},{B},{B}",5,Legendary Planeswalker ? Liliana,+1: Target player loses 2 life.\n?1: Return target creature card from your graveyard to your hand.\n?7: Destroy up to two target creatures. Put up to two creature cards from graveyards onto the battlefield under your control.,4,,,B,,,legal,not_legal,m19,291,mythic,,Livia Prima
"Liliana, Untouched by Death","{2},{B},{B}",4,Legendary Planeswalker ? Liliana,"+1: Put the top three cards of your library into your graveyard. If at least one of them is a Zombie card, each opponent loses 2 life and you gain 2 life.\n?2: Target creature gets -X/-X until end of turn, where X is the number of Zombies you control.\n?3: You may cast Zombie cards from your graveyard this turn.",4,,,B,,,legal,not_legal,m19,106,mythic,,Bastien L. Deharme
Llanowar Elves,{G},1,Creature ? Elf Druid,{T}: Add {G}.,,1,1,G,,,legal,legal,m19,314,common,"As patient and generous as life, as harsh and merciless as nature.",Chris Rahn
Loxodon Line Breaker,"{2},{W}",3,Creature ? Elephant Soldier,,,3,2,W,,,legal,legal,m19,24,common,"Loxodons are firm in stature and spirit. No matter the odds, they are always first into battle.",Jesper Ejsing
Luminous Bonds,"{2},{W}",3,Enchantment ? Aura,Enchant creature\nEnchanted creature can't attack or block.,,,,W,,,legal,legal,m19,25,common,"""Your part in this fight is done, vampire. Get used to your thirst.""",Steve Argyle
Macabre Waltz,"{1},{B}",2,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",,,,B,,,legal,legal,m19,108,common,Liliana is never one to follow someone else's lead.,Willian Murai
Magistrate's Scepter,{3},3,Artifact,"{4}, {T}: Put a charge counter on Magistrate's Scepter.\n{T}, Remove three charge counters from Magistrate's Scepter: Take an extra turn after this one.",,,,,,,legal,not_legal,m19,238,rare,,Adam Rex
Make a Stand,"{2},{W}",3,Instant,"Creatures you control get +1/+0 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",,,,W,,,legal,not_legal,m19,26,uncommon,"For a moment they stood tall, all fear forgotten.",Magali Villeneuve
Manalith,{3},3,Artifact,{T}: Add one mana of any color.,,,,,,,legal,legal,m19,239,common,"Planeswalkers seek out great monuments throughout the Multiverse, knowing that their builders were unknowingly drawn by the convergence of mana in the area.",Ryan Yee
Marauder's Axe,{2},2,Artifact ? Equipment,Equipped creature gets +2/+0.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),,,,,,,legal,legal,m19,240,common,A sharp axe solves most problems.,Mitchell Malloy
Meandering River,,0,Land,Meandering River enters the battlefield tapped.\n{T}: Add {W} or {U}.,,,,,,,legal,legal,m19,253,common,The river split into many channels as it flowed to the Halimar Sea. Few travelers could follow the same one twice.,Cliff Childs
Mentor of the Meek,"{2},{W}",3,Creature ? Human Soldier,"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay {1}. If you do, draw a card.",,2,2,W,,,legal,not_legal,m19,27,rare,"""In these halls there is no pass or fail. Your true test comes with the first full moon.""",Jana Schirmer & Johannes Voss
Metamorphic Alteration,"{1},{U}",2,Enchantment ? Aura,"Enchant creature\nAs Metamorphic Alteration enters the battlefield, choose a creature.\nEnchanted creature is a copy of the chosen creature.",,,,U,,,legal,not_legal,m19,60,rare,,Livia Prima
Meteor Golem,{7},7,Artifact Creature ? Golem,"When Meteor Golem enters the battlefield, destroy target nonland permanent an opponent controls.",,3,3,,,,legal,not_legal,m19,241,uncommon,The impact sent the soldiers scattering?then something came out of the crater.,Lake Hurwitz
Mighty Leap,"{1},{W}",2,Instant,Target creature gets +2/+2 and gains flying until end of turn.,,,,W,,,legal,legal,m19,28,common,"""I feel the presence of the God-Pharaoh in the Second Sun, and I rise upon its rays.""",Sidharth Chaturvedi
Militia Bugler,"{2},{W}",3,Creature ? Human Soldier,"Vigilance (Attacking doesn't cause this creature to tap.)\nWhen Militia Bugler enters the battlefield, look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,2,3,W,,,legal,not_legal,m19,29,uncommon,,David Gaillet
Millstone,{2},2,Artifact,"{2}, {T}: Target player puts the top two cards of their library into their graveyard.",,,,,,,legal,not_legal,m19,242,uncommon,"Minds, like mountains, are never so grand and mighty that they can't be reduced to dust.",Yeong-Hao Han
Mind Rot,"{2},{B}",3,Sorcery,Target player discards two cards.,,,,B,,,legal,legal,m19,109,common,Many an inventor has collapsed under the pressure to create a flawless design.,Seb McKinnon
Mirror Image,"{2},{U}",3,Creature ? Shapeshifter,You may have Mirror Image enter the battlefield as a copy of any creature you control.,,0,0,U,,,legal,not_legal,m19,61,uncommon,The life of a shapeshifter is one of constant change.,Randy Vargas
Mistcaller,{U},1,Creature ? Merfolk Wizard,"Sacrifice Mistcaller: Until end of turn, if a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.",,1,1,U,,,legal,not_legal,m19,62,rare,Hospitality is of little concern to those who do not wish to be disturbed.,Ryan Yee
Mist-Cloaked Herald,{U},1,Creature ? Merfolk Warrior,Mist-Cloaked Herald can't be blocked.,,1,1,U,,,legal,legal,m19,310,common,"With matchless stealth, the River Heralds fought a running battle against the three enemy forces.",Anthony Palumbo
Mountain,,0,Basic Land ? Mountain,({T}: Add {R}.),,,,,,,legal,legal,m19,273,common,,Noah Bradley
Murder,"{1},{B},{B}",3,Instant,Destroy target creature.,,,,B,,,legal,legal,m19,110,uncommon,"""It's not work if you enjoy it.""",Tyler Jacobson
Mystic Archaeologist,"{1},{U}",2,Creature ? Human Wizard,"{3},{U},{U}: Draw two cards.",,2,1,U,,,legal,not_legal,m19,63,rare,The delight of discovery drives the pursuit of knowledge.,Eric Deschamps
Naturalize,"{1},{G}",2,Instant,Destroy target artifact or enchantment.,,,,G,,,legal,legal,m19,190,common,"""And if you threaten me again, your shiny steel trousers will be sprouting daggerthorn vines.""\n?Iveta, rooftop runner",Daniel Ljunggren
Nexus of Fate,"{5},{U},{U}",7,Instant,"Take an extra turn after this one.\nIf Nexus of Fate would be put into a graveyard from anywhere, reveal Nexus of Fate and shuffle it into its owner's library instead.",,,,U,,,legal,not_legal,m19,306,mythic,Sarkhan wandered into a tomb and back in time.,Mike Bierek
Nightmare's Thirst,{B},1,Instant,"You gain 1 life. Target creature gets -X/-X until end of turn, where X is the amount of life you gained this turn.",,,,B,,,legal,not_legal,m19,111,uncommon,"That feeling of something on your chest is usually sleep paralysis. Occasionally, it's something else.",Igor Kieryluk
Novice Knight,{W},1,Creature ? Human Knight,"Defender (This creature can't attack.)\nAs long as Novice Knight is enchanted or equipped, it can attack as though it didn't have defender.",,2,3,W,,,legal,not_legal,m19,30,uncommon,Even the greatest hero begins with nothing.,Yongjae Choi
Oakenform,"{2},{G}",3,Enchantment ? Aura,Enchant creature\nEnchanted creature gets +3/+3.,,,,G,,,legal,legal,m19,191,common,"""When the beast cloaks itself in the mighty oak, what good is a bow? When the oak wraps itself around the snarling beast, what good is a hatchet?""\n?Dionus, elvish archdruid",Wayne Reynolds
Omenspeaker,"{1},{U}",2,Creature ? Human Wizard,"When Omenspeaker enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",,1,3,U,,,legal,legal,m19,64,common,Her prophecies amaze her even as she speaks them.,Dallas Williams
Omniscience,"{7},{U},{U},{U}",10,Enchantment,You may cast spells from your hand without paying their mana costs.,,,,U,,,legal,not_legal,m19,65,mythic,"""The things I once imagined would be my greatest achievements were only the first steps toward a future I can only begin to fathom.""\n? Jace Beleren",Jason Chan
Onakke Ogre,"{2},{R}",3,Creature ? Ogre Warrior,,,4,2,R,,,legal,legal,m19,153,common,"The ogres you know are nothing like the Onakke. Possessing both intellect and industry, they had brute strength without being brutish.",Mathias Kollros
One with the Machine,"{3},{U}",4,Sorcery,Draw cards equal to the highest converted mana cost among artifacts you control.,,,,U,,,legal,not_legal,m19,66,rare,"""When I grafted the Planar Bridge into myself, I felt my Planeswalker spark flare beyond my body. The Multiverse was my plaything. It felt . . . incredible.""\n?Tezzeret",Chase Stone
Open the Graves,"{3},{B},{B}",5,Enchantment,"Whenever a nontoken creature you control dies, create a 2/2 black Zombie creature token.",,,,B,,,legal,not_legal,m19,112,rare,It was a night like any other. It would soon become a night no one would ever forget.,Vincent Proce
Oreskos Swiftclaw,"{1},{W}",2,Creature ? Cat Warrior,,,3,1,W,,,legal,legal,m19,31,common,The leonin of Oreskos are quick to take offense?not because they are thin-skinned but because they are always ready for a fight.,James Ryman
"Palladia-Mors, the Ruiner","{3},{R},{G},{W}",6,Legendary Creature ? Elder Dragon,"Flying, vigilance, trample\nPalladia-Mors, the Ruiner has hexproof if it hasn't dealt damage yet.",,6,6,G,R,W,legal,not_legal,m19,219,mythic,Sister of Nicol Bolas. Survivor of the Elder Dragon War. The most vicious of her kin.,Svetlin Velinov
Patient Rebuilding,"{3},{U},{U}",5,Enchantment,"At the beginning of your upkeep, target opponent puts the top three cards of their library into their graveyard, then you draw a card for each land card put into that graveyard this way.",,,,U,,,legal,not_legal,m19,67,rare,Nicol Bolas would not rest until he was restored to his former glory.,Magali Villeneuve
Pegasus Courser,"{2},{W}",3,Creature ? Pegasus,"Flying\nWhenever Pegasus Courser attacks, another target attacking creature gains flying until end of turn.",,1,3,W,,,legal,legal,m19,32,common,"A pegasus chooses its rider, bearing the worthy into the clouds and tossing all others to the ground.",Mathias Kollros
Pelakka Wurm,"{4},{G},{G},{G}",7,Creature ? Wurm,"Trample\nWhen Pelakka Wurm enters the battlefield, you gain 7 life.\nWhen Pelakka Wurm dies, draw a card.",,7,7,G,,,legal,not_legal,m19,192,rare,It eats what it wants to eat?which is anything that moves.,Daniel Ljunggren
Pendulum of Patterns,{2},2,Artifact,"When Pendulum of Patterns enters the battlefield, you gain 3 life.\n{5}, {T}, Sacrifice Pendulum of Patterns: Draw a card.",,,,,,,legal,legal,m19,288,common,Its elaborate designs reveal secrets of aether's flow.,Raoul Vitale
Phylactery Lich,"{B},{B},{B}",3,Creature ? Zombie,"Indestructible\nAs Phylactery Lich enters the battlefield, put a phylactery counter on an artifact you control.\nWhen you control no permanents with phylactery counters on them, sacrifice Phylactery Lich.",,5,5,B,,,legal,not_legal,m19,113,rare,,Michael Komarck
Plague Mare,"{1},{B},{B}",3,Creature ? Nightmare Horse,"Plague Mare can't be blocked by white creatures.\nWhen Plague Mare enters the battlefield, creatures your opponents control get -1/-1 until end of turn.",,2,2,B,,,legal,not_legal,m19,114,uncommon,"When it passes, those who sleep dream of sickness and death.",G-host Lee
Plains,,0,Basic Land ? Plains,({T}: Add {W}.),,,,,,,legal,legal,m19,261,common,,John Avon
Plummet,"{1},{G}",2,Instant,Destroy target creature with flying.,,,,G,,,legal,legal,m19,193,common,"""Let nothing own the skies but the wind.""\n?Dejara, Giltwood druid",Pete Venters
Poison-Tip Archer,"{2},{B},{G}",4,Creature ? Elf Archer,"Reach (This creature can block creatures with flying.)\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhenever another creature dies, each opponent loses 1 life.",,2,3,B,G,,legal,not_legal,m19,220,uncommon,,Dmitry Burmak
Prodigious Growth,"{4},{G},{G}",6,Enchantment ? Aura,Enchant creature\nEnchanted creature gets +7/+7 and has trample.,,,,G,,,legal,not_legal,m19,194,rare,"""Look at how cute it is now!""\n?Vivien Reid",Svetlin Velinov
Psychic Corrosion,"{2},{U}",3,Enchantment,"Whenever you draw a card, each opponent puts the top two cards of their library into their graveyard.",,,,U,,,legal,not_legal,m19,68,uncommon,"""To break another's mind is to deliver a fate worse than death. It is a terrifying power.""\n?Jace Beleren",Bastien L. Deharme
Psychic Symbiont,"{4},{U},{B}",6,Creature ? Nightmare Horror,"Flying\nWhen Psychic Symbiont enters the battlefield, target opponent discards a card and you draw a card.",,3,3,B,U,,legal,not_legal,m19,221,uncommon,"""I turn around and see nothing, yet I know it is behind me. Its fingers rummage in my mind, crafting new ideas.""",Robbie Trevino
Rabid Bite,"{1},{G}",2,Sorcery,Target creature you control deals damage equal to its power to target creature you don't control.,,,,G,,,legal,legal,m19,195,common,"""You should have seen the look on both their faces.""\n?Morkamp, Lambholt innkeeper",Karl Kopinski
Radiating Lightning,"{3},{R}",4,Instant,Radiating Lightning deals 3 damage to target player and 1 damage to each creature that player controls.,,,,R,,,legal,legal,m19,313,common,"As the Cabal legions pushed into Shiv, they learned not to stand so close together.",Suzanne Helmigh
Ravenous Harpy,"{2},{B}",3,Creature ? Harpy,"Flying\n{1}, Sacrifice another creature: Put a +1/+1 counter on Ravenous Harpy.",,1,2,B,,,legal,not_legal,m19,115,uncommon,"A harpy's hoard is a filthy, bloodstained pile of trinkets and corpses.",Sam Rowan
Reassembling Skeleton,"{1},{B}",2,Creature ? Skeleton Warrior,"{1},{B}: Return Reassembling Skeleton from your graveyard to the battlefield tapped.",,1,1,B,,,legal,not_legal,m19,116,uncommon,"""They may show up with the wrong thigh bone or mandible, but they always show up.""\n?Zul Ashur, lich lord",Austin Hsu
Reclamation Sage,"{2},{G}",3,Creature ? Elf Shaman,"When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment.",,2,1,G,,,legal,not_legal,m19,196,uncommon,"""What was once formed by masons, shaped by smiths, or given life by mages, I will return to the embrace of the earth.""",Christopher Moeller
Recollect,"{2},{G}",3,Sorcery,Return target card from your graveyard to your hand.,,,,G,,,legal,not_legal,m19,197,uncommon,"""The bones of the past will tell their tales?if you know how to speak their language.""",Pete Venters
