name,mana_cost,cmc,type_line,oracle_text,loyalty,power,toughness,colours__001,colorus__002,colours__003,egalities__standard,legalities__pauper,set,collector_number,rarity,flavour_text,artist
Regal Bloodlord,"{3},{W},{B}",5,Creature ? Vampire Soldier,"Flying\nAt the beginning of each end step, if you gained life this turn, create a 1/1 black Bat creature token with flying.",,2,4,B,W,,legal,not_legal,m19,222,uncommon,Those of esteemed birth earn a most esteemed death.,Winona Nelson
Reliquary Tower,,0,Land,You have no maximum hand size.\n{T}: Add {C}.,,,,,,,legal,not_legal,m19,254,uncommon,The most holy treasures are kept far from unclean soil.,Jesper Ejsing
Remorseful Cleric,"{1},{W}",2,Creature ? Spirit Cleric,Flying\nSacrifice Remorseful Cleric: Exile all cards from target player's graveyard.,,2,1,W,,,legal,not_legal,m19,33,rare,A lifetime of keeping up appearances is not enough to earn an eternity of rest.,Grzegorz Rutkowski
Resplendent Angel,"{1},{W},{W}",3,Creature ? Angel,"Flying\nAt the beginning of each end step, if you gained 5 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance.\n{3},{W},{W},{W}: Until end of turn, Resplendent Angel gets +2/+2 and gains lifelink.",,3,3,W,,,legal,not_legal,m19,34,mythic,,Volkan Ba?a
Revitalize,"{1},{W}",2,Instant,You gain 3 life.\nDraw a card.,,,,W,,,legal,legal,m19,35,common,"""A potion is no substitute for a skilled surgeon, but it will hold your bits in."" ?Torricks, battlefield medic",Matt Stewart
Rhox Oracle,"{4},{G}",5,Creature ? Rhino Monk,"When Rhox Oracle enters the battlefield, draw a card.",,4,2,G,,,legal,legal,m19,198,common,"""The further into the future I look, the less certain my vision. Even now, the middle distance is obscured by fire.""",Dan Scott
Riddlemaster Sphinx,"{4},{U},{U}",6,Creature ? Sphinx,"Flying\nWhen Riddlemaster Sphinx enters the battlefield, you may return target creature an opponent controls to its owner's hand.",,5,5,U,,,legal,not_legal,m19,287,rare,"""Safe passage requires only a simple answer to a simple question, traveler.""",Ryan Yee
Rise from the Grave,"{4},{B}",5,Sorcery,Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.,,,,B,,,legal,not_legal,m19,117,uncommon,"""Death is no excuse for disobedience."" ?Liliana Vess",Kieran Yanner
Rogue's Gloves,{2},2,Artifact ? Equipment,"Whenever equipped creature deals combat damage to a player, you may draw a card.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,,,,,legal,not_legal,m19,243,uncommon,"Thievery requires subtlety, from the beginning of the heist to the end.",Cyril Van Der Haegen
Root Snare,"{1},{G}",2,Instant,Prevent all combat damage that would be dealt this turn.,,,,G,,,legal,legal,m19,199,common,"The only casualties were a snapped spear, a lost helmet, and some bruised egos.",Mitchell Malloy
Runic Armasaur,"{1},{G},{G}",3,Creature ? Dinosaur,"Whenever an opponent activates an ability of a creature or land that isn't a mana ability, you may draw a card.",,2,5,G,,,legal,not_legal,m19,200,rare,The Sun Empire's most sacred sites are protected by more than prayers.,Randy Vargas
Rupture Spire,,0,Land,"Rupture Spire enters the battlefield tapped.\nWhen Rupture Spire enters the battlefield, sacrifice it unless you pay {1}.\n{T}: Add one mana of any color.",,,,,,,legal,legal,m19,255,uncommon,,Jaime Jones
Rustwing Falcon,{W},1,Creature ? Bird,Flying,,1,2,W,,,legal,legal,m19,36,common,"Native to wide prairies and scrublands, falcons occasionally roost in dragon skeletons.",Paul Scott Canavan
"Sai, Master Thopterist","{2},{U}",3,Legendary Creature ? Human Artificer,"Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying.\n{1},{U}, Sacrifice two artifacts: Draw a card.",,1,4,U,,,legal,not_legal,m19,69,rare,"""Industry without artistry is just a fancy way to fill the junkyard.""",Adam Paquette
Salvager of Secrets,"{3},{U},{U}",5,Creature ? Merfolk Wizard,"When Salvager of Secrets enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",,2,2,U,,,legal,legal,m19,70,common,The greatest treasure of the deep is an echo from above.,Lars Grant-West
"Sarkhan, Dragonsoul","{4},{R},{R}",6,Legendary Planeswalker ? Sarkhan,"+2: Sarkhan, Dragonsoul deals 1 damage to each opponent and each creature your opponents control.\n?3: Sarkhan, Dragonsoul deals 4 damage to target player or planeswalker.\n?9: Search your library for any number of Dragon creature cards, put them onto the battlefield, then shuffle your library.",5,,,R,,,legal,not_legal,m19,296,mythic,,Yongjae Choi
"Sarkhan, Fireblood","{1},{R},{R}",3,Legendary Planeswalker ? Sarkhan,"+1: You may discard a card. If you do, draw a card.\n+1: Add two mana in any combination of colors. Spend this mana only to cast Dragon spells.\n?7: Create four 5/5 red Dragon creature tokens with flying.",3,,,R,,,legal,not_legal,m19,154,mythic,,Grzegorz Rutkowski
Sarkhan's Dragonfire,"{3},{R},{R}",5,Sorcery,Sarkhan's Dragonfire deals 3 damage to any target.\nLook at the top five cards of your library. You may reveal a red card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.,,,,R,,,legal,not_legal,m19,298,rare,"""I am most myself when I am least human.""",Daarken
Sarkhan's Unsealing,"{3},{R}",4,Enchantment,"Whenever you cast a creature spell with power 4, 5, or 6, Sarkhan's Unsealing deals 4 damage to any target.\nWhenever you cast a creature spell with power 7 or greater, Sarkhan's Unsealing deals 4 damage to each opponent and each creature and planeswalker they control.",,,,R,,,legal,not_legal,m19,155,rare,,Daarken
Sarkhan's Whelp,"{2},{R}",3,Creature ? Dragon,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever you activate an ability of a Sarkhan planeswalker, Sarkhan's Whelp deals 1 damage to any target.",,2,2,R,,,legal,not_legal,m19,299,uncommon,,Craig J Spearing
Satyr Enchanter,"{1},{G},{W}",3,Creature ? Satyr Druid,"Whenever you cast an enchantment spell, draw a card.",,2,2,G,W,,legal,not_legal,m19,223,uncommon,"""The threads of magic that protect this place were woven by my will.""",Sidharth Chaturvedi
Scapeshift,"{2},{G},{G}",4,Sorcery,"Sacrifice any number of lands. Search your library for up to that many land cards, put them onto the battlefield tapped, then shuffle your library.",,,,G,,,legal,not_legal,m19,201,mythic,"""Whether we like it or not, our arrival has altered the landscape.""\n?Malcolm, navigator of the Belligerent",Daniel Ljunggren
Scholar of Stars,"{3},{U}",4,Creature ? Human Artificer,"When Scholar of Stars enters the battlefield, if you control an artifact, draw a card.",,3,2,U,,,legal,legal,m19,71,common,"""The path of the stars is as reliable as the instruments that measure them.""",Tommy Arnold
Serra's Guardian,"{4},{W},{W}",6,Creature ? Angel,Flying\nVigilance (Attacking doesn't cause this creature to tap.)\nOther creatures you control have vigilance.,,5,5,W,,,legal,not_legal,m19,284,rare,She watches over the city just as Serra watches over all.,Magali Villeneuve
Shield Mare,"{1},{W},{W}",3,Creature ? Horse,"Shield Mare can't be blocked by red creatures.\nWhen Shield Mare enters the battlefield or becomes the target of a spell or ability an opponent controls, you gain 3 life.",,2,3,W,,,legal,not_legal,m19,37,uncommon,"When it passes, order defeats chaos.",Lucas Graciano
Shivan Dragon,"{4},{R},{R}",6,Creature ? Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.,,5,5,R,,,legal,not_legal,m19,300,rare,The undisputed master of the mountains of Shiv.,Donato Giancola
Shock,{R},1,Instant,Shock deals 2 damage to any target.,,,,R,,,legal,legal,m19,156,common,The tools of invention became the weapons of revolution.,Jason Rainville
Siegebreaker Giant,"{3},{R},{R}",5,Creature ? Giant Warrior,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\n{3},{R}: Target creature can't block this turn.",,6,3,R,,,legal,not_legal,m19,157,uncommon,No rampart can withstand the fury of a giant.,Even Amundsen
Sift,"{3},{U}",4,Sorcery,"Draw three cards, then discard a card.",,,,U,,,legal,legal,m19,72,uncommon,Dwell longest on the thoughts that shine brightest.,Jeremy Jarvis
Sigiled Sword of Valeron,{3},3,Artifact ? Equipment,"Equipped creature gets +2/+0, has vigilance, and is a Knight in addition to its other types.\nWhenever equipped creature attacks, create a 2/2 white Knight creature token with vigilance that's attacking.\nEquip {3}",,,,,,,legal,not_legal,m19,244,rare,,John Stanko
Silverbeak Griffin,"{W},{W}",2,Creature ? Griffin,Flying (This creature can't be blocked except by creatures with flying or reach.),,2,2,W,,,legal,legal,m19,285,common,A pair of domesticated griffins escaped from captivity a century ago. Now the skies are filled with the songs of their descendants.,Viktor Titov
Skalla Wolf,"{3},{G},{G}",5,Creature ? Wolf Spirit,"When Skalla Wolf enters the battlefield, look at the top five cards of your library. You may reveal a green card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,3,3,G,,,legal,not_legal,m19,303,rare,"""This imprint was the familiar of a friend.""\n?Vivien Reid",Lius Lasahido
Skeleton Archer,"{3},{B}",4,Creature ? Skeleton Archer,"When Skeleton Archer enters the battlefield, it deals 1 damage to any target.",,3,3,B,,,legal,legal,m19,118,common,"""When it comes to killing with precision, a soul is but a hindrance.""\n?Isareth the Awakener",Randy Vargas
Skilled Animator,"{2},{U}",3,Creature ? Human Artificer,"When Skilled Animator enters the battlefield, target artifact you control becomes an artifact creature with base power and toughness 5/5 for as long as Skilled Animator remains on the battlefield.",,1,3,U,,,legal,not_legal,m19,73,uncommon,,Jason A. Engle
Skymarch Bloodletter,"{2},{B}",3,Creature ? Vampire Soldier,"Flying\nWhen Skymarch Bloodletter enters the battlefield, target opponent loses 1 life and you gain 1 life.",,2,2,B,,,legal,legal,m19,119,common,"From the perpetual shadowsmoke that hung above the ship, a silent form emerged, lips curled with malice and anticipation.",Tomasz Jedruszek
Skyrider Patrol,"{2},{G},{U}",4,Creature ? Elf Scout,"Flying\nAt the beginning of combat on your turn, you may pay {G},{U}. When you do, put a +1/+1 counter on another target creature you control, and that creature gains flying until end of turn.",,2,3,G,U,,legal,not_legal,m19,224,uncommon,,Mitchell Malloy
Skyscanner,{3},3,Artifact Creature ? Thopter,"Flying\nWhen Skyscanner enters the battlefield, draw a card.",,1,1,,,,legal,legal,m19,245,common,"The municipal senate makes extensive use of the thopters, mostly to gather dirt on rival senators.",Adam Paquette
Sleep,"{2},{U},{U}",4,Sorcery,Tap all creatures target player controls. Those creatures don't untap during that player's next untap step.,,,,U,,,legal,not_legal,m19,74,uncommon,"""I give them dreams so wondrous that they hesitate to return to the world of the conscious.""\n?Garild, merfolk mage",Chris Rahn
Smelt,{R},1,Instant,Destroy target artifact.,,,,R,,,legal,legal,m19,158,common,The creation of new weapons demands the destruction of others.,Zoltan Boros
Snapping Drake,"{3},{U}",4,Creature ? Drake,Flying,,3,2,U,,,legal,legal,m19,75,common,"Foul-tempered, poorly trained, and mule-stubborn, the drake is the perfect test of the master's will.",Todd Lockwood
Sovereign's Bite,"{1},{B}",2,Sorcery,Target player loses 3 life and you gain 3 life.,,,,B,,,legal,legal,m19,120,common,"""You have given all to your kingdom, dear knight. Serenity shall be your prize.""\n?Queen Lian",Volkan Ba?a
Sparktongue Dragon,"{3},{R},{R}",5,Creature ? Dragon,"Flying\nWhen Sparktongue Dragon enters the battlefield, you may pay {2},{R}. When you do, it deals 3 damage to any target.",,3,3,R,,,legal,legal,m19,159,common,Fools believe that Kolaghan's brood follows lightning storms. The wise know that it is the other way around.,Daarken
Spit Flame,"{2},{R}",3,Instant,"Spit Flame deals 4 damage to target creature.\nWhenever a Dragon enters the battlefield under your control, you may pay {R}. If you do, return Spit Flame from your graveyard to your hand.",,,,R,,,legal,not_legal,m19,160,rare,,Chris Rahn
Star-Crowned Stag,"{3},{W}",4,Creature ? Elk,"Whenever Star-Crowned Stag attacks, tap target creature defending player controls.",,3,3,W,,,legal,legal,m19,38,common,"White as starlight on snow, it appears only on the eve of the winter solstice.",Jonathan Kuo
Stitcher's Supplier,{B},1,Creature ? Zombie,"When Stitcher's Supplier enters the battlefield or dies, put the top three cards of your library into your graveyard.",,1,1,B,,,legal,not_legal,m19,121,uncommon,No part goes to waste.,Chris Seaman
Stone Quarry,,0,Land,Stone Quarry enters the battlefield tapped.\n{T}: Add {R} or {W}.,,,,,,,legal,legal,m19,256,common,The bedrock has many gifts to give.,Efflam Mercier
Strangling Spores,"{3},{B}",4,Instant,Target creature gets -3/-3 until end of turn.,,,,B,,,legal,legal,m19,122,common,Imagine a thousand tiny mushrooms cropping up within your lungs.,Jason A. Engle
Submerged Boneyard,,0,Land,Submerged Boneyard enters the battlefield tapped.\n{T}: Add {U} or {B}.,,,,,,,legal,legal,m19,257,common,"""Long after the land has given up the last of its secrets, there will still be mysteries in the depths of the sea.""\n?Kiora",Cliff Childs
Suncleanser,"{1},{W}",2,Creature ? Human Cleric,"When Suncleanser enters the battlefield, choose one ?\n? Remove all counters from target creature. It can't have counters put on it for as long as Suncleanser remains on the battlefield.\n? Target opponent loses all counters. That player can't get counters for as long as Suncleanser remains on the battlefield.",,1,4,W,,,legal,not_legal,m19,39,rare,,Mark Zug
Sun Sentinel,"{1},{W}",2,Creature ? Human Soldier,Vigilance (Attacking doesn't cause this creature to tap.),,2,2,W,,,legal,legal,m19,307,common,"Just as the sun rises at dawn and the days lengthen in the summer, the Sun Empire has awakened after long years of quiet.",James Ryman
Supreme Phantom,"{1},{U}",2,Creature ? Spirit,Flying\nOther Spirits you control get +1/+1.,,1,3,U,,,legal,not_legal,m19,76,rare,A king's knowledge does not vanish when the heart stops beating.,Robbie Trevino
Sure Strike,"{1},{R}",2,Instant,Target creature gets +3/+0 and gains first strike until end of turn.,,,,R,,,legal,legal,m19,161,common,"To survive imminent doom, it sometimes takes a foolhardy soul who acts first and fears later.",Jakub Kasper
Surge Mare,"{U},{U}",2,Creature ? Horse Fish,"Surge Mare can't be blocked by green creatures.\nWhenever Surge Mare deals damage to an opponent, you may draw a card. If you do, discard a card.\n{1},{U}: Surge Mare gets +2/-2 until end of turn.",,0,5,U,,,legal,not_legal,m19,77,uncommon,"When it passes, waves touch the sky.",Sam Rowan
Suspicious Bookcase,{2},2,Artifact Creature ? Wall,"Defender (This creature can't attack.)\n{3}, {T}: Target creature can't be blocked this turn.",,0,4,,,,legal,not_legal,m19,246,uncommon,"All the books were dusty with disuse, save the one titled Camouflage and Its Practical Applications.",Anastasia Ovchinnikova
Swamp,,0,Basic Land ? Swamp,({T}: Add {B}.),,,,,,,legal,legal,m19,269,common,,Mike Bierek
Switcheroo,"{4},{U}",5,Sorcery,Exchange control of two target creatures.,,,,U,,,legal,not_legal,m19,78,uncommon,Say hello to your new friend.,Kev Walker
Take Vengeance,"{1},{W}",2,Sorcery,Destroy target tapped creature.,,,,W,,,legal,legal,m19,40,common,"""Your death will be a balm, your passing a welcome revision, and all will sigh with peace to know of your demise.""",Randy Vargas
Talons of Wildwood,"{1},{G}",2,Enchantment ? Aura,"Enchant creature\nEnchanted creature gets +1/+1 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)\n{2},{G}: Return Talons of Wildwood from your graveyard to your hand.",,,,G,,,legal,legal,m19,202,common,,Uriah Voth
Tattered Mummy,"{1},{B}",2,Creature ? Zombie Jackal,"When Tattered Mummy dies, each opponent loses 2 life.",,1,2,B,,,legal,legal,m19,295,common,The dead who wander beyond the safety of the city crave only to spread their curse.,Slawomir Maniak
Tectonic Rift,"{3},{R}",4,Sorcery,Destroy target land. Creatures without flying can't block this turn.,,,,R,,,legal,not_legal,m19,162,uncommon,"""You will kneel before me, even if I have to split the earth under your feet!""\n?Ash Kronor, Keldon warlord",John Avon
"Tezzeret, Artifice Master","{3},{U},{U}",5,Legendary Planeswalker ? Tezzeret,"+1: Create a 1/1 colorless Thopter artifact creature token with flying.\n0: Draw a card. If you control three or more artifacts, draw two cards instead.\n?9: You get an emblem with ""At the beginning of your end step, search your library for a permanent card, put it onto the battlefield, then shuffle your library.""",5,,,U,,,legal,not_legal,m19,79,mythic,,Josh Hass
"Tezzeret, Cruel Machinist","{4},{U},{U}",6,Legendary Planeswalker ? Tezzeret,"+1: Draw a card.\n0: Until your next turn, target artifact you control becomes a 5/5 creature in addition to its other types.\n?7: Put any number of cards from your hand onto the battlefield face down. They're 5/5 artifact creatures.",4,,,U,,,legal,not_legal,m19,286,mythic,,Zack Stella
Tezzeret's Gatebreaker,{4},4,Artifact,"When Tezzeret's Gatebreaker enters the battlefield, look at the top five cards of your library. You may reveal a blue or artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\n{5},{U}, {T}, Sacrifice Tezzeret's Gatebreaker: Creatures you control can't be blocked this turn.",,,,,,,legal,not_legal,m19,289,rare,,Mathias Kollros
Tezzeret's Strider,{3},3,Artifact Creature ? Golem,"As long as you control a Tezzeret planeswalker, Tezzeret's Strider has menace. (It can't be blocked except by two or more creatures.)",,3,1,,,,legal,not_legal,m19,290,uncommon,"""More obedient than any dog.""\n?Tezzeret",Zack Stella
Thornhide Wolves,"{4},{G}",5,Creature ? Wolf,,,4,5,G,,,legal,legal,m19,204,common,"""Halana grew brambles to create a barricade around our camp, hoping that it would keep the wolves out. That was a mistake for which we almost paid dearly.""\n?Alena, trapper of Kessig",Scott Murphy
Thorn Lieutenant,"{1},{G}",2,Creature ? Elf Warrior,"Whenever Thorn Lieutenant becomes the target of a spell or ability an opponent controls, create a 1/1 green Elf Warrior creature token.\n{5},{G}: Thorn Lieutenant gets +4/+4 until end of turn.",,2,3,G,,,legal,not_legal,m19,203,rare,,Uriah Voth
Thud,{R},1,Sorcery,"As an additional cost to cast this spell, sacrifice a creature.\nThud deals damage equal to the sacrificed creature's power to any target.",,,,R,,,legal,not_legal,m19,163,uncommon,"""Give 'em a push.""\n?Mogwin, goblin delinquent",Kev Walker
Timber Gorge,,0,Land,Timber Gorge enters the battlefield tapped.\n{T}: Add {R} or {G}.,,,,,,,legal,legal,m19,258,common,"Tazeem's embrace is harsh, but for those that call it home, nothing else will do.",Cliff Childs
Titanic Growth,"{1},{G}",2,Instant,Target creature gets +4/+4 until end of turn.,,,,G,,,legal,legal,m19,205,common,The massive dominate through might. The tiny survive with guile. Beware the tiny who become massive.,Ryan Pancoast
Tolarian Scholar,"{2},{U}",3,Creature ? Human Wizard,,,2,3,U,,,legal,legal,m19,80,common,The Tolarian Academies embrace a tradition of study and research while discouraging the kinds of experiments that ruined the original island of Tolaria.,Sara Winters
Tormenting Voice,"{1},{R}",2,Sorcery,"As an additional cost to cast this spell, discard a card.\nDraw two cards.",,,,R,,,legal,legal,m19,164,common,"""Unwelcome thoughts crowd my mind. Are they my own madness, or the whispers of another?"" ?Sarkhan Vol",Volkan Ba?a
Totally Lost,"{4},{U}",5,Instant,Put target nonland permanent on top of its owner's library.,,,,U,,,legal,legal,m19,81,common,Fblthp had always hated crowds.,David Palumbo
Tranquil Expanse,,0,Land,Tranquil Expanse enters the battlefield tapped.\n{T}: Add {G} or {W}.,,,,,,,legal,legal,m19,259,common,Beyond the chaos of Ghirapur lies a vibrant world where aether flows through nature.,Sam Burley
Transmogrifying Wand,{3},3,Artifact,"Transmogrifying Wand enters the battlefield with three charge counters on it.\n{1}, {T}, Remove a charge counter from Transmogrifying Wand: Destroy target creature. Its controller creates a 2/4 white Ox creature token. Activate this ability only any time you could cast a sorcery.",,,,,,,legal,not_legal,m19,247,rare,,Aaron Miller
Trumpet Blast,"{2},{R}",3,Instant,Attacking creatures get +2/+0 until end of turn.,,,,R,,,legal,legal,m19,165,common,The sound of the trumpets lights a fire in the hearts of the bold and snuffs the courage of the cowardly.,Steve Prescott
Trusty Packbeast,"{2},{W}",3,Creature ? Beast,"When Trusty Packbeast enters the battlefield, return target artifact card from your graveyard to your hand.",,2,3,W,,,legal,legal,m19,41,common,"""Margaret has traveled with me to the end of the world and back.""\n?Hewen Frit, merchant",John Stanko
Two-Headed Zombie,"{3},{B}",4,Creature ? Zombie,Menace (This creature can't be blocked except by two or more creatures.),,4,2,B,,,legal,legal,m19,123,common,"""Thread the torsos together with angel hair to ensure they will cooperate in battle.""\n?The Stitcher's Tome",Josh Hass
Uncomfortable Chill,"{2},{U}",3,Instant,Creatures your opponents control get -2/-0 until end of turn.\nDraw a card.,,,,U,,,legal,legal,m19,82,common,The cold slowed their movements until only their panicked eyeballs swiveled beneath the ice.,Izzy
Ursine Champion,"{1},{G}",2,Creature ? Human Berserker,"{5},{G}: Ursine Champion gets +3/+3 and becomes a Bear Berserker until end of turn. Activate this ability only once each turn.",,2,2,G,,,legal,legal,m19,304,common,"""Would you rather feel the edge of blade or the sharpness of my fangs?""",Alex Konstad
"Vaevictis Asmadi, the Dire","{3},{B},{R},{G}",6,Legendary Creature ? Elder Dragon,"Flying\nWhenever Vaevictis Asmadi, the Dire attacks, for each player, choose target permanent that player controls. Those players sacrifice those permanents. Each player who sacrificed a permanent this way reveals the top card of their library, then puts it onto the battlefield if it's a permanent card.",,6,6,B,G,R,legal,not_legal,m19,225,mythic,,Steven Belledin
Valiant Knight,"{3},{W}",4,Creature ? Human Knight,"Other Knights you control get +1/+1.\n{3},{W},{W}: Knights you control gain double strike until end of turn.",,3,4,W,,,legal,not_legal,m19,42,rare,"""Defeat is no reason for retreat. It is a sign we must redouble our efforts to win this fight.""",Jakub Kasper
Vampire Neonate,{B},1,Creature ? Vampire,"{2}, {T}: Each opponent loses 1 life and you gain 1 life.",,0,3,B,,,legal,legal,m19,124,common,"One day, they may be paragons of deadly elegance. For the moment, they possess nothing but thirst.",Daarken
Vampire Sovereign,"{3},{B},{B}",5,Creature ? Vampire,"Flying\nWhen Vampire Sovereign enters the battlefield, target opponent loses 3 life and you gain 3 life.",,3,4,B,,,legal,not_legal,m19,125,uncommon,"""Your service shall be rewarded.""\n?Queen Lian",Volkan Ba?a
Viashino Pyromancer,"{1},{R}",2,Creature ? Viashino Wizard,"When Viashino Pyromancer enters the battlefield, it deals 2 damage to target player or planeswalker.",,2,1,R,,,legal,legal,m19,166,common,"""I trained with the Ghitu, and I respect the fire as they do.""",Jesper Ejsing
Vigilant Baloth,"{3},{G},{G}",5,Creature ? Beast,Vigilance (Attacking doesn't cause this creature to tap.),,5,5,G,,,legal,not_legal,m19,206,uncommon,Villagers employ watchdogs as guardians and companions. Druids prefer something a little bigger.,Uriah Voth
Vine Mare,"{2},{G},{G}",4,Creature ? Elemental Horse,Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nVine Mare can't be blocked by black creatures.,,5,3,G,,,legal,not_legal,m19,207,uncommon,"When it passes, the dead are displaced by flourishing life.",Alex Konstad
Vivien of the Arkbow,"{4},{G},{G}",6,Legendary Planeswalker ? Vivien,+2: Put two +1/+1 counters on up to one target creature.\n?3: Target creature you control deals damage equal to its power to target creature you don't control.\n?9: Creatures you control get +4/+4 and gain trample until end of turn.,5,,,G,,,legal,not_legal,m19,301,mythic,,Magali Villeneuve
Vivien Reid,"{3},{G},{G}",5,Legendary Planeswalker ? Vivien,"+1: Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\n?3: Destroy target artifact, enchantment, or creature with flying.\n?8: You get an emblem with ""Creatures you control get +2/+2 and have vigilance, trample, and indestructible.""",5,,,G,,,legal,not_legal,m19,208,mythic,,Anna Steinbauer
Vivien's Invocation,"{5},{G},{G}",7,Sorcery,"Look at the top seven cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order. When a creature is put onto the battlefield this way, it deals damage equal to its power to target creature an opponent controls.",,,,G,,,legal,not_legal,m19,209,rare,,Johannes Voss
Vivien's Jaguar,"{2},{G}",3,Creature ? Cat Spirit,"Reach (This creature can block creatures with flying.)\n{2},{G}: Return Vivien's Jaguar from your graveyard to your hand. Activate this ability only if you control a Vivien planeswalker.",,3,2,G,,,legal,not_legal,m19,305,uncommon,Each of Vivien's arrows is an invocation of a species.,Magali Villeneuve
Volcanic Dragon,"{4},{R},{R}",6,Creature ? Dragon,Flying\nHaste (This creature can attack and {T} as soon as it comes under your control.),,4,4,R,,,legal,not_legal,m19,167,uncommon,Sometimes an eruption in Shiv produces something more dangerous than a mere river of molten rock.,Chris Rahn
Volley Veteran,"{3},{R}",4,Creature ? Goblin Warrior,"When Volley Veteran enters the battlefield, it deals damage to target creature an opponent controls equal to the number of Goblins you control.",,4,2,R,,,legal,not_legal,m19,168,uncommon,"""Fill the sky with stuff!""",Craig J Spearing
Walking Corpse,"{1},{B}",2,Creature ? Zombie,,,2,2,B,,,legal,legal,m19,126,common,"""Feeding a normal army is a problem of logistics. With zombies, it is an asset. Feeding is why they fight. Feeding is why they are feared.""\n?Jadar, ghoulcaller of Nephalia",Igor Kieryluk
Wall of Mist,"{1},{U}",2,Creature ? Wall,Defender,,0,5,U,,,legal,legal,m19,83,common,The seafloor is flecked with the bones of fools who dared sail into the mist.,Dimitar Marinski
Wall of Vines,{G},1,Creature ? Plant Wall,Defender (This creature can't attack.)\nReach (This creature can block creatures with flying.),,0,3,G,,,legal,legal,m19,210,common,"Like all jungle plants, the vines must fight and claw for sunlight. Once their place is secured, they grow strong, sharp, and impenetrable.",John Stanko
Waterknot,"{1},{U},{U}",3,Enchantment ? Aura,"Enchant creature\nWhen Waterknot enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step.",,,,U,,,legal,legal,m19,311,common,,Wayne Reynolds
Windreader Sphinx,"{5},{U},{U}",7,Creature ? Sphinx,"Flying\nWhenever a creature with flying attacks, you may draw a card.",,3,7,U,,,legal,not_legal,m19,84,rare,"""Your mind is too filled with foolish concerns to hear the subtle whispers that the breeze brings.""",Min Yum
Woodland Stream,,0,Land,Woodland Stream enters the battlefield tapped.\n{T}: Add {G} or {U}.,,,,,,,legal,legal,m19,260,common,Waterways carve their routes through the land to reflect the paths the aether streams cut through the clouds.,Efflam Mercier
